nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1994-10-01T00:00:00Z,sd,3.4566957998112122
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1994-11-01T00:00:00Z,mean,5.102204555051124
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1994-11-01T00:00:00Z,sd,3.6307429555854016
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1994-12-01T00:00:00Z,mean,5.279050876009972
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1994-12-01T00:00:00Z,sd,3.8129519354627033
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-01-01T00:00:00Z,mean,5.393156336184512
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-01-01T00:00:00Z,sd,4.009822621930185
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-02-01T00:00:00Z,mean,5.307818791809234
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-02-01T00:00:00Z,sd,3.9238266279870015
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-03-01T00:00:00Z,mean,5.240480674708143
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-03-01T00:00:00Z,sd,3.789322706899914
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-04-01T00:00:00Z,mean,4.645673626914937
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-04-01T00:00:00Z,sd,3.1175466957602698
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-05-01T00:00:00Z,mean,4.473112883878515
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-05-01T00:00:00Z,sd,2.874682798599844
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-06-01T00:00:00Z,mean,4.539874395950044
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-06-01T00:00:00Z,sd,2.899998464182146
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-07-01T00:00:00Z,mean,4.805985409053082
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-07-01T00:00:00Z,sd,3.167198274784041
