nms,dataset,var,time,stat
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_258,2014-06-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_258,2014-06-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_259,2014-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_259,2014-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_26,1995-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_26,1995-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_260,2014-08-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_260,2014-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_261,2014-09-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_261,2014-09-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_262,2014-10-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_262,2014-10-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_263,2014-11-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_263,2014-11-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_264,2014-12-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_264,2014-12-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_265,2015-01-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_265,2015-01-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_266,2015-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_266,2015-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_267,2015-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_267,2015-03-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_268,2015-04-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_268,2015-04-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_269,2015-05-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_269,2015-05-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_27,1995-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_27,1995-03-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_270,2015-06-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_270,2015-06-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_271,2015-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_271,2015-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_272,2015-08-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_272,2015-08-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_273,2015-09-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_273,2015-09-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_274,2015-10-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_274,2015-10-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_275,2015-11-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_275,2015-11-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_276,2015-12-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_276,2015-12-01T00:00:00Z,sd
